iteration,replay_size,policy_loss,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,16,2.6557223796844482,0.0,0.0,0.5,0.5
2,12304,2.2427808195352554,0.3886593649319063,,,
3,24592,2.1376467778657875,0.3791075360495597,,,
4,36880,2.0880084841822586,0.38963321865432793,,,
5,49168,2.0100645859104893,0.39164607895266573,0.25,0.0,0.75
6,50000,1.867449340228082,0.37751715070306874,,,
7,50000,1.8139694866541864,0.36531811691200533,,,
8,50000,1.7378115169370068,0.3529340917680999,,,
9,50000,1.712428466458632,0.3490784520166479,,,
10,50000,1.6670434079615926,0.3439382497846088,0.75,0.0,0.25
11,50000,1.6249080647579686,0.3344799393308605,,,
12,50000,1.5775353780323962,0.32698537477038125,,,
13,50000,1.5103725787924744,0.3241298012006145,,,
14,50000,1.4822612343005426,0.32852707927266706,,,
15,50000,1.409925688854711,0.32363523376888564,0.9166666666666666,0.0,0.08333333333333333
16,50000,1.3304583274219162,0.32257564848577475,,,
17,50000,1.2835457553555198,0.3207808000616319,,,
18,50000,1.2172739446621088,0.31532522890044234,,,
19,50000,1.197040808681642,0.32090192500897774,,,
20,50000,1.201834342314858,0.32388438092647226,1.0,0.0,0.0
21,50000,1.2350146147719419,0.3325544441269088,,,
22,50000,1.2448009316655646,0.3318581896310579,,,
23,50000,1.2453928943556494,0.32786118446177925,,,
24,50000,1.279357483460259,0.3266381195218096,,,
25,50000,1.2931704955049117,0.32686316414656313,0.9166666666666666,0.0,0.08333333333333333
26,50000,1.3242622161338944,0.32641949554220817,,,
27,50000,1.364962023862956,0.32391908388971213,,,
28,50000,1.3650048881502066,0.32141654564499395,,,
29,50000,1.3475054852406896,0.31440157511971517,,,
30,50000,1.3337356327590504,0.30868833818295244,0.9166666666666666,0.0,0.08333333333333333
31,50000,1.323392781153531,0.31537021393202025,,,
32,50000,1.322835490775322,0.31570325374946706,,,
33,50000,1.3021332027817505,0.3123185381522252,,,
34,50000,1.2872027536894692,0.3058389116092925,,,
35,50000,1.2357987642440844,0.2913850982424239,1.0,0.0,0.0
36,50000,1.2031070264139798,0.2887487611596242,,,
37,50000,1.1926236032065907,0.2996351442439303,,,
38,50000,1.1906139584265354,0.3075080876084815,,,
39,50000,1.193345212257168,0.31197884305834617,,,
40,50000,1.188015899798629,0.3104994849667964,1.0,0.0,0.0
