iteration,replay_size,policy_loss,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,12288,3.180143965408206,0.3488661263836548,,,
2,24576,3.1263889729355774,0.3751096493797377,,,
3,36864,3.0618615821003914,0.3759040583520093,,,
4,49152,3.0006925286725163,0.36826069186402793,,,
5,50000,2.8759337140106513,0.3634738113621438,0.16666666666666666,0.0,0.8333333333333334
6,50000,2.7663990959773144,0.3420510755687303,,,
7,50000,2.677505140725843,0.31166800603785677,,,
8,50000,2.5891864296721434,0.2723491650966691,,,
9,50000,2.5208916734336433,0.23401408905948057,,,
10,50000,2.464918473160679,0.23245737129028185,0.16666666666666666,0.0,0.8333333333333334
11,50000,2.4222206625224074,0.21919420064354217,,,
12,50000,2.390433562702467,0.22946801875859843,,,
13,50000,2.314069311536381,0.21301515025734213,,,
14,50000,2.2788326024398606,0.20140432241574294,,,
15,50000,2.2941023541778973,0.22317246079359027,0.4166666666666667,0.0,0.5833333333333334
16,50000,2.2893669286244354,0.22176929159154316,,,
17,50000,2.3266865376015784,0.2284042566332599,,,
18,50000,2.3360555316208265,0.23037518489576408,,,
19,50000,2.3292763333161877,0.2289398497783802,,,
20,50000,2.330340770615811,0.21217991061336938,0.6666666666666666,0.0,0.3333333333333333
21,50000,2.3283072696299927,0.22719734673663763,,,
22,50000,2.2894993869351667,0.2149074388341203,,,
23,50000,2.2671611625009556,0.21399772629170427,,,
24,50000,2.23152332521126,0.20934821058556,,,
25,50000,2.185667677053874,0.21052446514821196,0.25,0.0,0.75
26,50000,2.1577687979355056,0.19809196856965175,,,
27,50000,2.1224660995522475,0.19234516711907984,,,
28,50000,2.1087044273692728,0.18077695351058234,,,
29,50000,2.123008200438471,0.19815859012901973,,,
30,50000,2.098364137733181,0.2043871018742229,0.5833333333333334,0.0,0.4166666666666667
31,50000,2.0999083196918424,0.2032756574056022,,,
32,50000,2.099125531205142,0.20333615833805174,,,
33,50000,2.071955725111821,0.19495207936325315,,,
34,50000,2.0813766399663174,0.21378781411811118,,,
35,50000,2.065686376467252,0.22163969469250736,0.3333333333333333,0.0,0.6666666666666666
36,50000,2.051460911232439,0.22906793732191322,,,
37,50000,2.049555517418284,0.22818535062867226,,,
38,50000,2.056180027550833,0.2053555635718698,,,
39,50000,2.059782059717728,0.19675945656114138,,,
40,50000,2.050388800731542,0.19465645523109829,0.4166666666666667,0.0,0.5833333333333334
