iteration,replay_size,policy_loss,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,16384,3.1769982390105724,0.3803810460376553,,,
2,32768,3.152624987764284,0.4070608744805213,,,
3,49152,3.1068476151364544,0.4062595811168042,,,
4,50000,3.029949978890706,0.4089358102210658,,,
5,50000,2.931578453157989,0.39941807060708767,0.25,0.0,0.75
6,50000,2.826627934788009,0.3581609139445497,,,
7,50000,2.6940907542134673,0.31659895568494606,,,
8,50000,2.5642114424369704,0.28679498393808833,,,
9,50000,2.4522303020755705,0.2532240062899573,,,
10,50000,2.3574487439496266,0.22684384226112145,0.25,0.0,0.75
11,50000,2.3096345845471578,0.2132760834630946,,,
12,50000,2.281113776751578,0.21593978099057526,,,
13,50000,2.2702076100814663,0.22063773203159417,,,
14,50000,2.2432151179612827,0.21753461123056586,,,
15,50000,2.245646197344063,0.2002231465049193,0.4166666666666667,0.0,0.5833333333333334
16,50000,2.2086205978552296,0.17920822388088276,,,
17,50000,2.1930815588954773,0.14062798741540697,,,
18,50000,2.184754541756707,0.11060926546378445,,,
19,50000,2.204910289004884,0.13724456165491505,,,
20,50000,2.224324909886691,0.15781410382738606,0.25,0.0,0.75
21,50000,2.2104860361040632,0.15407842524747975,,,
22,50000,2.1808899956231844,0.13550713125803532,,,
23,50000,2.1545215932874155,0.13260709632619758,,,
24,50000,2.1337325927084754,0.13347666159617416,,,
25,50000,2.0853323803668444,0.1199584848324383,0.3333333333333333,0.0,0.6666666666666666
26,50000,2.071483315487372,0.10856212975583117,,,
27,50000,2.0481652515187916,0.1344261140781413,,,
28,50000,2.00684765908538,0.13605807859464888,,,
29,50000,1.9706857447129664,0.15317989211283844,,,
30,50000,1.9518526971111225,0.15211131836367572,0.25,0.0,0.75
31,50000,1.9635673748393676,0.1640068799341944,,,
32,50000,1.9655805169085991,0.14945795626836267,,,
33,50000,1.9872883324739112,0.14655290823340386,,,
34,50000,1.9891315413956148,0.16592419042076711,,,
35,50000,1.9860078947339566,0.18363079743128313,0.3333333333333333,0.0,0.6666666666666666
36,50000,1.9302167532996546,0.1786489519737804,,,
37,50000,1.8869263655702833,0.17050254192303452,,,
38,50000,1.8405744807363014,0.16478174963069273,,,
39,50000,1.8108667751891054,0.17609468720514665,,,
40,50000,1.7908443268984746,0.1751760689377136,0.5833333333333334,0.0,0.4166666666666667
