iteration,wins,draws,losses,win_rate,draw_rate,loss_rate
5,0,0,12,0.0,0.0,1.0
10,0,0,12,0.0,0.0,1.0
15,0,0,12,0.0,0.0,1.0
20,0,0,12,0.0,0.0,1.0
25,0,0,12,0.0,0.0,1.0
30,0,0,12,0.0,0.0,1.0
35,0,0,12,0.0,0.0,1.0
40,0,0,12,0.0,0.0,1.0
