iteration,replay_size,policy_loss,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,16384,1.8377900021150708,0.2916235993761802,,,
2,32768,1.8589933823095635,0.28126777723809937,,,
3,49152,1.8368610043544322,0.2644129296580407,,,
4,50000,1.8427475468755226,0.24915820239743794,,,
5,50000,1.8253780901050445,0.2472671336385871,0.8333333333333334,0.0,0.16666666666666666
6,50000,1.829601342104156,0.24299448095595944,,,
7,50000,1.7880531867701326,0.22777364416365128,,,
8,50000,1.7220405199005724,0.19607587917212985,,,
9,50000,1.6737870531259211,0.18129755174633827,,,
10,50000,1.6421723350520019,0.18973671507791506,0.9166666666666666,0.0,0.08333333333333333
11,50000,1.6541446424476927,0.22093625098858005,,,
12,50000,1.6620525546782148,0.24083939377127858,,,
13,50000,1.6321578631785707,0.23656484296738567,,,
14,50000,1.6040686254464709,0.23075582992128083,,,
15,50000,1.6295007483296755,0.24593538039443816,0.9166666666666666,0.0,0.08333333333333333
16,50000,1.637955365657196,0.25674850617209866,,,
17,50000,1.6095639355814564,0.27358252433022523,,,
18,50000,1.568375494583926,0.2716074132917404,,,
19,50000,1.5529796507843936,0.2778819541037846,,,
20,50000,1.5612286873419368,0.2796260604489399,1.0,0.0,0.0
21,50000,1.5544956175374314,0.280292192924763,,,
22,50000,1.542760857622999,0.2758920130757532,,,
23,50000,1.5221853759163626,0.2718071927830443,,,
24,50000,1.4869221690064356,0.2730664547470788,,,
