iteration,replay_size,policy_loss,value_loss
1,16384,2.0087359519675374,0.11282152900957954
2,32768,2.0270120603963733,0.17517666922958597
3,49152,2.0676365150138736,0.1835632469956181
4,50000,2.0808551238227286,0.20486394624808915
